ID,Description,Create Time,Author ID,Author Nickname,Music ID,Music Title,Digg Count,Share Count,Comment Count,Play Count,Engagement Rate
7169053647245020458,Bless her heart! #HuluChippendalesDance #BeTheReasonVisa #fyp #fypシ #funny ,1669175392,6589773046515941382,Ryan Odom,7169053724621572910,original sound,67700,62,75,469400,0.14451853429910524
7080281296659909934,like okay calm down stacy there's only 5% in a tiny can,1648506452,6716555753459401734,Karol,7055883490604436229,FAMOUS PEOPLE ARE USING THIS SOUND OMG,27500,127,209,153800,0.18098829648894668
7099503371643637038,"Don’t be shy claw lovers, which is your go-to flavor? 🎥 @Felicia LaLomia #whiteclaw #rank",1652981941,6713997619171197958,delish,6840186129753328389,sonido original,1215,39,39,76700,0.016857887874837028
7332932181079313710,Going through my #drafts and found this gem 💎 #chickthatdrinkswhiteclaw #koolsquad_ #notmyfaultyouresoft_ #clawthirty #tunefliprealquick #nothingawhiteclawcantfix ,1707331367,6767780616467497990,KaySquad_,7299596010534505262,original sound,34900,691,466,620400,0.05811895551257253
6909544692682149125,comment your fav! 🥂 #whiteclaw #alcoholicdrinks #alcohol #ratingalcohol #rating #whiteclaws #aintnolaws #aintnolawsdrinkingclaws,1608753751,6712189871371387909,LOUIS LEVANTI,6746993352891189249,Monkeys Spinning Monkeys,22200,667,543,191100,0.12250130821559393
7344160721661365546,i can’t believe i discovered the vodka soda 😍 #fyp #fypシ #hack #highnoon #whiteclaw #xyzabc #yw ,1709945691,6768631274871260166,grass,7344160806529649450,original sound,57500,12800,1075,1800000,0.03965277777777778
7091786124602952965,Trying White Claw Hard Seltzer for the first time 🇺🇸,1651185131,6757342389373158406,Dawn Farmer,6817175799632758786,"Fun, light, honobo, everyday, piano solo",39100,164,4450,379000,0.11534036939313984
6879825637842980102,what your favorite white claw flavor says about you! Like & comment for part 2 #whiteclaw #alcohol #partying,1601834272,6750017713928717317,Audrey Peters🍒,6750908441163745281,In Da Club,35000,2032,662,344000,0.10957558139534884
7170079842967391534,#thanksgiving #whiteclaw #hostess #bamamom #lessonslearned ,1669414317,53730917675978752,Monica Hunemiller Cornelius,7170079874554546986,original sound,62400,1025,249,409600,0.1554541015625
6950742880298257669,Hair of the dog I say!!!🤣🤣#TheChallengeAllStars #hangover #alljokes #whiteclaw #fyp #foryou #foryoupage,1618345942,5257484,✨Hot Gina Official✨,6943007675639024389,Praying,23700,1212,110,417000,0.06000479616306954
